user_id,year,month,expense,income,net,savings_rate,expense_ratio,essential_expense,total_expense,essential_ratio,income_cv,expense_cv,n_income_tx,n_expense_tx,cat_Cafe,cat_Education,cat_Entertainment,cat_Food,cat_Gifts,cat_Health,cat_Personal Care,cat_Rent,cat_Shopping,cat_Subscription,cat_Transport,cat_Travel,cat_Utilities,score_savings_rate,score_expense_ratio,score_essential,score_income_stab,score_exp_volatility,financial_health_score,label
U00002,2023.0,8.0,196600.0,5714900.0,5518300.0,0.9655986981399499,0.03440130186005005,130900.0,196600.0,0.6658189216683622,0.10078953396529114,1.0947604716249102,1.0,3.0,65700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130900.0,0.0,0.0,96.559869813995,96.559869813995,33.41810783316378,89.92104660347088,0.0,68.45171346415088,AMAN
U00003,2024.0,7.0,476700.0,620100.0,143400.0,0.2312530237058539,0.7687469762941461,476700.0,476700.0,1.0,0.8335214883190907,0.9528127099367357,1.0,1.0,0.0,0.0,0.0,476700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.12530237058539,23.125302370585388,0.0,16.64785116809093,4.718729006326427,14.767638211455296,RAWAN
U00004,2023.0,4.0,165000.0,3485700.0,3320700.0,0.9526637404251657,0.047336259574834325,165000.0,165000.0,1.0,0.10511090923742025,0.8693814996129186,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165000.0,95.26637404251656,95.26637404251656,0.0,89.48890907625797,13.061850038708144,63.01580088850319,AMAN
U00004,2023.0,12.0,813600.0,3003400.0,2189800.0,0.7291070120530065,0.2708929879469934,408300.0,813600.0,0.5018436578171092,0.10511090923742025,0.8693814996129186,1.0,3.0,269700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135600.0,408300.0,72.91070120530065,72.91070120530065,49.815634218289084,89.48890907625797,13.061850038708144,61.80109131355306,AMAN
U00007,2024.0,3.0,47600.0,1822100.0,1774500.0,0.9738762965808683,0.026123703419131773,0.0,47600.0,0.0,0.6236348141442861,0.8985055004195237,1.0,1.0,0.0,0.0,47600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.38762965808682,97.38762965808682,100.0,37.63651858557139,10.14944995804763,75.86171011058626,AMAN
U00011,2023.0,4.0,417900.0,6747400.0,6329500.0,0.9380650324569464,0.06193496754305362,172000.0,417900.0,0.41158171811438143,1.0503132348793114,0.5901926199342411,2.0,2.0,245900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172000.0,93.80650324569464,93.80650324569464,58.84182818856185,0.0,40.98073800657589,64.81872796154607,AMAN
U00011,2023.0,5.0,75200.0,6255000.0,6179800.0,0.9879776179056755,0.012022382094324541,75200.0,75200.0,1.0,1.0503132348793114,0.5901926199342411,1.0,1.0,0.0,0.0,0.0,0.0,0.0,75200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.79776179056755,98.79776179056755,0.0,0.0,40.98073800657589,55.545991596270156,AMAN
U00013,2023.0,2.0,14000.0,596200.0,582200.0,0.9765179469976518,0.023482053002348204,14000.0,14000.0,1.0,0.8260738391882789,1.011834771424425,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0,0.0,0.0,97.65179469976518,97.65179469976518,0.0,17.392616081172108,0.0,51.4347897620584,AMAN
U00013,2024.0,11.0,181300.0,2785500.0,2604200.0,0.9349129420211811,0.06508705797881888,181300.0,181300.0,1.0,0.8260738391882789,1.011834771424425,1.0,1.0,0.0,0.0,0.0,181300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.49129420211811,93.49129420211811,0.0,17.392616081172108,0.0,49.35453951323487,AMAN
U00013,2024.0,12.0,258000.0,5454600.0,5196600.0,0.95270047299527,0.047299527004729953,258000.0,258000.0,1.0,0.8260738391882789,1.011834771424425,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258000.0,0.0,0.0,95.27004729952701,95.27004729952701,0.0,17.392616081172108,0.0,50.243916061939316,AMAN
